erakond,huvitisesaaja,limiit,kulud,kasutamata,kasutatud_pct
Eesti Keskerakond,Aleksandr Tšaplõgin,18706.77,15594.14,3112.63,"83,4%"
Eesti Keskerakond,Aleksei Jevgrafov,18706.77,17705.67,1001.10,"94,6%"
Eesti Keskerakond,Anastassia Kovalenko-Kõlvart,18706.77,13150.16,5556.61,"70,3%"
Eesti Keskerakond,Andrei Korobeinik,18706.77,17327.35,1379.42,"92,6%"
Eesti Keskerakond,Lauri Laats,18706.77,18680.72,26.05,"99,9%"
Eesti Keskerakond,Vadim Belobrovtsev,18706.77,15530.11,3176.66,"83,0%"
Eesti Keskerakond,Vladimir Arhipov,18706.77,18140.28,566.49,"97,0%"
Eesti Reformierakond,Aivar Sõerd,18706.77,13026.83,5679.94,"69,6%"
Eesti Reformierakond,Andres Sutt,4147.39,3588.30,559.09,"86,5%"
Eesti Reformierakond,Andrus Seeme,18706.77,16091.04,2615.73,"86,0%"
Eesti Reformierakond,Annely Akkermann,18706.77,16894.81,1811.96,"90,3%"
Eesti Reformierakond,Anti Haugas,18706.77,17819.22,887.55,"95,3%"
Eesti Reformierakond,Eerik-Niiles Kross,18706.77,17843.55,863.22,"95,4%"
Eesti Reformierakond,Eero Merilind,18706.77,18490.47,216.30,"98,8%"
Eesti Reformierakond,Hanah Lahe,18706.77,18346.59,360.18,"98,1%"
Eesti Reformierakond,Hele Everaus,4147.39,2261.34,1886.05,"54,5%"
Eesti Reformierakond,Jüri Jaanson,18706.77,14743.40,3963.37,"78,8%"
Eesti Reformierakond,Kalle Laanet,18706.77,16338.84,2367.93,"87,3%"
Eesti Reformierakond,Karmen Joller,4147.39,4147.39,0.00,"100,0%"
Eesti Reformierakond,Katrin Kuusemäe,18706.77,17286.68,1420.09,"92,4%"
Eesti Reformierakond,Kristina Šmigun-Vähi,18706.77,17945.67,761.10,"95,9%"
Eesti Reformierakond,Kristo Enn Vaga,18706.77,18261.61,445.16,"97,6%"
Eesti Reformierakond,Liina Kersna,18706.77,10113.18,8593.59,"54,1%"
Eesti Reformierakond,Luisa Rõivas,18706.77,17704.18,1002.59,"94,6%"
Eesti Reformierakond,Madis Timpson,18706.77,16953.92,1752.85,"90,6%"
Eesti Reformierakond,Maido Ruusmann,18706.77,18502.42,204.35,"98,9%"
Eesti Reformierakond,Mait Klaassen,18706.77,9300.99,9405.78,"49,7%"
Eesti Reformierakond,Margit Sutrop,18706.77,18669.96,36.81,"99,8%"
Eesti Reformierakond,Mario Kadastik,18706.77,18545.93,160.84,"99,1%"
Eesti Reformierakond,Maris Lauri,18706.77,4637.49,14069.28,"24,8%"
Eesti Reformierakond,Marko Mihkelson,18706.77,18706.77,0.00,"100,0%"
