huvitisesaaja,kokku,sõidukulud,side_ja_postikulud,lähetuskulud,majutuskulud,bürookulud,koolituskulud,tõlketeenuse_kulud,uuringud_ja_ekspertiisid,esindus_ja_vastuvõtukulud,tervishoiuteenused
Aivar Kokk,13144.56,6779.68,477.76,,,2163.78,,,,3723.34,
Aivar Sõerd,10014.47,6738.50,1541.39,,80.00,390.23,,,,1264.35,
Alar Laneman,10699.45,5208.26,611.02,,,1068.58,,,,3811.59,
Aleksandr Tšaplõgin,13585.96,2484.10,702.59,,273.53,118.58,,814.69,,9192.47,
Aleksei Jevgrafov,11759.00,7163.51,1496.94,,273.53,91.58,,,,2733.44,
Anastassia Kovalenko-Kõlvart,6452.19,1881.07,767.18,,273.53,118.58,,,,3411.83,
Andre Hanimägi,9100.04,4034.08,1919.29,,273.53,118.58,,,,2754.56,
Andrei Korobeinik,10304.28,1559.45,1597.71,540.00,273.53,118.58,,,,6215.01,
Andres Metsoja,10338.74,5388.41,791.90,,,118.58,,,,4039.85,
Andres Sutt,10376.34,5918.07,1628.61,1458.34,84.37,269.25,,,,1017.70,
Andrus Seeme,12242.38,7087.01,736.98,,,,,,,4418.39,
Annely Akkermann,12667.61,5665.79,924.89,1525.56,125.00,162.50,788.62,,,3475.25,
Anti Allas,8245.46,2292.27,527.55,,67.50,,,,,5358.14,
Anti Haugas,11875.51,7838.09,626.40,1396.09,,,,,,2014.93,
Anti Poolamets,13250.08,2119.69,,1268.47,80.00,1925.88,129.00,,197.44,7529.60,
Ants Frosch,12671.84,8585.70,755.26,,,794.80,,,,2536.08,
Ants Laaneots,2772.25,2103.08,91.16,,,,338.64,,,239.37,
Arvo Aller,14590.70,6724.83,456.86,1511.06,,921.83,,,197.41,4778.71,
Eduard Odinets,13677.33,5022.27,1218.39,5667.58,852.40,41.89,18.95,174.00,,681.85,
Eerik-Niiles Kross,7245.29,2136.82,,250.00,,4619.10,,,,239.37,
Eero Merilind,14227.88,2624.83,666.73,,,217.37,7524.00,,1801.20,1393.75,
Enn Eesmaa,7689.16,5604.02,445.54,,273.53,185.78,,,,1180.29,
Erkki Keldo,13655.01,7310.70,687.48,,319.00,,338.56,,,4922.27,77.00
Ester Karuse,14039.72,3497.53,1914.57,1310.96,273.53,2038.68,,,,5004.45,
Evelin Poolamets,10775.34,4048.35,533.11,,,2401.03,,,197.44,3595.41,
Grigore-Kalev Stoicescu,1653.74,737.24,223.72,,,,680.00,,,12.78,
Hanah Lahe,8090.26,1314.02,444.35,1815.23,319.37,1002.00,577.42,,,2617.87,
Heidy Purga,498.49,422.97,75.52,,,,,,,,
Helir-Valdor Seeder,9355.19,6077.39,1068.59,,,140.57,,,,2068.64,
Heljo Pikhof,11901.28,7956.14,1701.58,,,,,,,2243.56,
Helle-Moonika Helme,11725.56,1906.63,653.22,2263.69,35.00,2508.17,,,197.46,4161.39,
Helmen Kütt,9732.33,2517.32,448.04,658.60,182.50,,,,,5925.87,
Hendrik Johannes Terras,2146.70,1290.49,421.56,,,390.00,,,,44.65,
Henn Põlluaas,13632.42,6712.59,621.85,1268.47,,1701.83,,,197.44,3130.24,
Igor Taro,4849.40,2524.52,652.55,100.00,,,,,,1572.33,
Irja Lutsar,997.94,588.94,,80.00,,,,,,329.00,
Jaak Aab,12015.12,6697.89,1204.57,,273.53,118.58,,,,3720.55,
Jaak Valge,12499.14,2200.53,982.28,1486.44,523.00,2601.82,,,197.44,4507.63,
Jaanus Karilaid,7187.74,4283.99,1757.15,,160.07,118.58,,,,867.95,
Jevgeni Ossinovski,9608.94,2907.96,603.90,,305.76,227.19,,,,5564.13,
Juku-Kalle Raid,2032.54,235.71,,1744.57,,,,,,52.26,
